,State,LGA,lat,lon
772,Rivers,Ikwerre,4.957651,7.020856
773,Edo,Oredo,6.328655,5.626292
774,Edo,Ovia South-West,6.465293,5.31051
775,Rivers,Ikwerre,4.960529,7.018144
776,Edo,Oredo,6.328595,5.627536
777,Edo,Oredo,6.32684,5.627002
778,Edo,Oredo,6.326825,5.627005
779,Rivers,Ogba-Egbema-Ndoni,5.329508,6.634183
780,Rivers,Ikwerre,4.956303,7.01618
781,Edo,Ovia South-West,6.466105,5.312524
782,Rivers,Ikwerre,4.955411,7.018243
783,Rivers,Ogba-Egbema-Ndoni,5.330326,6.63494
784,Rivers,Port Harcourt,4.795601,6.993233
785,Edo,Ovia South-West,6.466105,5.312524
786,Edo,Ovia South-West,6.466187,5.313463
787,Edo,Ovia South-West,6.466187,5.313463
788,Rivers,Port Harcourt,4.795574,6.99318
789,Rivers,Ahoada West,5.092404,6.474742
790,Rivers,Ahoada East,5.068464,6.648578
791,Rivers,Ahoada East,5.068369,6.648508
792,Rivers,Omuma,5.875088,6.894783
793,Rivers,Ahoada East,5.068307,6.648449
794,Rivers,Ahoada West,5.882864,6.883008
795,Akwa-Ibom,Oron,4.804491,8.225645
796,Akwa-Ibom,Oron,4.804451,8.225628
797,Akwa-Ibom,Oron,4.803555,8.239854
798,Akwa-Ibom,Oron,4.80391,8.240006
799,Akwa-Ibom,Oron,4.806554,8.238912
800,Akwa-Ibom,Oron,4.809857,8.234896
801,Akwa-Ibom,Oron,4.804993,8.221234
802,Akwa-Ibom,Oron,4.804548,8.225797
803,Rivers,Omuma,5.792982,6.983212
804,Rivers,Ahoada West,5.092353,6.474878
805,Rivers,Ahoada East,5.075048,6.655525
806,Rivers,Ahoada West,5.09228,6.475082
807,Rivers,Omuma,5.790555,7.013833
808,Rivers,Port Harcourt,4.795394,6.993067
