,State,LGA,Health and Safety,Legality,Affordability,Quality,Reliability,Daily Availability,Daytime Availability,Evening Availability,Capacity
7939,Niger,Mokwa,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 4,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
7940,Niger,Mokwa,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 4,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
7941,Niger,Mokwa,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 4,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
7942,Niger,Shiroro,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 0 / Tier 1 / Tier 2,Tier 3,Tier 4 / Tier 5,Tier 4 / Tier 5,Tier 5
7943,Nasarawa,Obi,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 0 / Tier 1 / Tier 2,Tier 0,Tier 0,Tier 4 / Tier 5,Tier 0
7944,Nasarawa,Obi,Tier 4 / Tier 5,Tier 1 / Tier 2 / Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3 / Tier 4 / Tier 5,Tier 3,Tier 0,Tier 0,Tier 0,Tier 0
7945,Nasarawa,Obi,Tier 4 / Tier 5,Tier 0,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
7946,Nasarawa,Obi,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
7947,Nasarawa,Obi,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
7948,Nasarawa,Obi,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
7949,Nasarawa,Obi,No Tier,No Tier,No Tier,No Tier,Tier 0 / Tier 1 / Tier 2,Tier 0,No Tier,No Tier,Tier 0
